Date,Time,Away Team,Home Team,Channel
11/23/2025,3:00 PM,Coppin State,Tennessee,SECN+
11/23/2025,3:00 PM,Mercyhurst,Iowa State,ESPN+
11/23/2025,3:00 PM,Oakland,Michigan State,B1G+
11/23/2025,3:00 PM,Milwaukee,Butler,ESPN+
11/23/2025,3:00 PM,Morgan State,George Washington,ESPN+
11/23/2025,3:00 PM,Virginia Tech,James Madison,ESPN+
11/23/2025,3:00 PM,Navy,Richmond,ESPN+
11/23/2025,3:00 PM,William & Mary,Howard,ESPN+
11/23/2025,3:00 PM,Clemson,Furman,ESPN+
11/23/2025,3:00 PM,Illinois,Florida State,ACCNX
11/23/2025,3:00 PM,Canisius,Cincinnati,ESPN+
11/23/2025,3:00 PM,Manhattan,Fordham,ESPN+
11/23/2025,3:00 PM,Georgia Tech,Georgia,SECN+
11/23/2025,3:30 PM,UConn,Utah,FS1
11/23/2025,3:30 PM,George Mason,Maryland,BTN
11/23/2025,4:00 PM,Tennessee State,Vanderbilt,SECN+
11/23/2025,4:00 PM,Austin Peay,Southern Illinois,ESPN+
11/23/2025,4:00 PM,Lamar,UL Monroe,ESPN+
11/23/2025,4:00 PM,Oral Roberts,Kansas,ESPN+
11/23/2025,4:00 PM,Bellarmine,Bradley,ESPN+
11/23/2025,4:00 PM,Texas Tech,New Mexico,TV data unavailable
11/23/2025,4:00 PM,High Point,Houston,ESPN+
11/23/2025,4:00 PM,Detroit Mercy,Wisconsin,B1G+
11/23/2025,4:00 PM,Incarnate Word,Rice,ESPN+
11/23/2025,5:00 PM,UC Riverside,Boise State,MW Network
11/23/2025,5:00 PM,IU Indianapolis,Marshall,ESPN+
11/23/2025,5:00 PM,Fresno State,Santa Clara,ESPN+
11/23/2025,5:00 PM,Lehigh,Stanford,ACCNX
11/23/2025,5:00 PM,Long Beach State,Oregon State,ESPN+
11/23/2025,5:00 PM,Cal State Northridge,Idaho,ESPN+
11/23/2025,6:00 PM,Southern,UCLA,B1G+
11/23/2025,6:00 PM,UT Rio Grande Valley,TCU,ESPN+
11/23/2025,6:00 PM,Vermont,Washington,B1G+
11/23/2025,6:00 PM,Utah State,Oregon,B1G+
11/23/2025,6:00 PM,Cal State Fullerton,Pacific,ESPN+
11/23/2025,6:00 PM,San José State,Pepperdine,ESPN+
11/23/2025,6:00 PM,Towson,UMBC,ESPN+
11/23/2025,6:00 PM,Eastern Washington,Gonzaga,ESPN+
11/23/2025,7:00 PM,UNC Greensboro,North Carolina,ACC Network
11/23/2025,8:00 PM,Oakland,Michigan State,B1G+
11/23/2025,8:30 PM,Portland,Hawai'i,ESPN+
11/24/2025,12:00 PM,Ohio State,Belmont,TV data unavailable
11/24/2025,12:00 PM,Saint Mary's of the Woods,Indiana State,ESPN+
11/24/2025,1:00 PM,Stoney Brook,Georgia State,ESPN+
11/24/2025,1:00 PM,Middle Tennessee,Providence,FloHoops
11/24/2025,2:30 PM,West Virginia,McNeese State,TV data unavailable
11/24/2025,3:00 PM,New Mexico State,San Diego,ESPN+
11/24/2025,2:30 PM,Alcorn State,Mississippi State,FloHoops
11/24/2025,5:00 PM,Minnesota,South Florida,TV data unavailable
11/24/2025,6:00 PM,UTSA,Auburn,TV data unavailable
11/24/2025,7:00 PM,South Carolina State,UCF,ESPN+
11/24/2025,7:00 PM,Presbyterian,Coastal Carolina,ESPN+
11/24/2025,7:00 PM,Saint Joseph's,Pennsylvania,ESPN+
11/24/2025,7:00 PM,Xavier,Akron,ESPN+
11/24/2025,7:00 PM,Kent State,Duquesne,ESPN+
11/24/2025,7:00 PM,Purdue Fort Wayne,Nebraska,FloHoops
11/24/2025,7:00 PM,Central Connecticut,St. John's,ESPN+
11/24/2025,7:00 PM,Central Connecticut State,St. John's,ESPN+
11/24/2025,7:00 PM,South Carolina State,UCF,ESPN+
11/24/2025,7:00 PM,Occidental,UC San Diego,ESPN+
11/24/2025,7:00 PM,Xavier,Akron,ESPN+
11/24/2025,7:00 PM,Presbyterian,Coastal Carolina,ESPN+
11/24/2025,7:30 PM,Alabama,Harvard,FloHoops
11/24/2025,7:30 PM,UIC,Ball State,ESPN+
11/24/2025,8:00 PM,Longwood,Ole Miss,SECN+
11/24/2025,8:00 PM,Delaware State,Hampton,FloHoops
11/24/2025,8:00 PM,Wright State,Ohio,ESPN+
11/24/2025,8:00 PM,Montana State,Troy,ESPN+
11/24/2025,8:00 PM,Iona,Wagner,NEC Front Row
11/24/2025,8:00 PM,Elon,Georgetown,ESPN+
11/24/2025,8:00 PM,Chicago State,Northern Illinois,ESPN+
11/24/2025,8:00 PM,Binghamton,Columbia,ESPN+
11/24/2025,8:00 PM,Concordia-Texas,Houston Christian,ESPN+
11/24/2025,8:00 PM,Florida,Florida Atlantic,ESPN+
11/24/2025,8:00 PM,Monmouth,Marist,ESPN+
11/24/2025,8:00 PM,Siena,Rutgers,B1G+
11/24/2025,8:30 PM,Texas A&M-Corpus Christi,Oklahoma State,ESPN+
11/24/2025,8:30 PM,Colorado,VCU,TV data unavailable
11/24/2025,9:00 PM,California,Grand Canyon,TV data unavailable
11/24/2025,9:30 PM,Utah Valley,Nevada,MW Network
11/24/2025,9:30 PM,Northwestern State,Virginia,FloSports
11/24/2025,10:00 PM,Central Michigan,Notre Dame,ACC Network
11/24/2025,10:00 PM,Chapman University,Cal Poly,ESPN+
11/24/2025,10:00 PM,Occidental,UC San Diego,ESPN+
11/24/2025,10:30 PM,UC Davis,Sacramento State,ESPN+
11/25/2025,12:00 PM,Merrimack,Boston College,ACCNX
11/25/2025,12:00 PM,Le Moyne,Bucknell,ESPN+
11/25/2025,12:00 PM,New Haven,Fairfield,ESPN+
11/25/2025,1:00 PM,Samford,Georgia State,ESPN+
11/25/2025,1:00 PM,Norfolk State,Appalachian State,ESPN+
11/25/2025,2:00 PM,Western Carolina,West Georgia,ESPN+
11/25/2025,4:00 PM,Wofford,UNC Asheville,ESPN+
11/25/2025,4:00 PM,Montreat,South Carolina Upstate,ESPN+
11/25/2025,6:00 PM,Georgia Southern,Charleston Southern,ESPN+
11/25/2025,7:00 PM,Texas Tech,Old Dominion,TV data unavailable
11/25/2025,7:00 PM,Villanova,La Salle,TV data unavailable
11/25/2025,7:00 PM,Lafayette,Pitt,TV data unavailable
11/25/2025,7:00 PM,Virginia,TBD,FloSports
11/25/2025,7:00 PM,Lafayette,Pittsburgh,ACCNX
11/25/2025,7:00 PM,Kennesaw State,South Alabama,ESPN+
11/25/2025,7:00 PM,Northeastern,UMass Lowell,ESPN+
11/25/2025,7:00 PM,Fairleigh Dickinson,NJIT,ESPN+
11/25/2025,7:00 PM,UMass,Holy Cross,ESPN+
11/25/2025,7:30 PM,Villanova,La Salle,ESPN+
11/25/2025,7:30 PM,Georgia Southwestern,Jacksonville,ESPN+
11/25/2025,7:30 PM,Toledo,Youngstown State,ESPN+
11/25/2025,8:00 PM,Louisiana Monroe,Clemson,ACC Network
11/25/2025,8:00 PM,Colorado,Texas A&M,TV data unavailable
11/25/2025,8:00 PM,UL Monroe,Clemson,ACC Network
11/25/2025,8:00 PM,Fisk,Southern Indiana,ESPN+
11/25/2025,8:00 PM,Rider,George Mason,ESPN+
11/25/2025,8:00 PM,Florida A&M,Mercer,ESPN+
11/25/2025,8:00 PM,New Hampshire,Brown,ESPN+
11/25/2025,8:30 PM,North American,Sam Houston,ESPN+
11/25/2025,9:00 PM,Louisiana,Memphis,TV data unavailable
11/25/2025,9:00 PM,Northern Colorado,Arizona,TV data unavailable
11/25/2025,9:00 PM,Louisiana,Memphis,ESPN+
11/25/2025,9:00 PM,Tarleton,Texas State,ESPN+
11/25/2025,9:00 PM,Northern Colorado,Arizona,ESPN+
11/25/2025,9:30 PM,Utah Tech,Arizona State,ESPN+
11/25/2025,10:00 PM,Southern,Washington,B1G+
11/25/2025,11:00 PM,Tennessee Tech,USC,B1G+
11/26/2025,12:00 PM,UCF,East Carolina,FloHoops
11/26/2025,12:00 PM,Yale,American University,ESPN+
11/26/2025,1:00 PM,Howard,Purdue,B1G+
11/26/2025,1:00 PM,Towson,Georgetown,ESPN+
11/26/2025,1:00 PM,Loyola Chicago,DePaul,ESPN+
11/26/2025,1:00 PM,Eastern Kentucky,Morehead State,ESPN+
11/26/2025,1:00 PM,Bryant,Boston University,ESPN+
11/26/2025,1:00 PM,Central Arkansas,Georgia State,ESPN+
11/26/2025,2:00 PM,Texas,UCLA,truTV
11/26/2025,2:00 PM,Towson,Georgetown,ESPN+
11/26/2025,2:00 PM,Houston Christian,New Orleans,ESPN+
11/26/2025,2:00 PM,Virginia-Wise,Liberty,ESPN+
11/26/2025,3:00 PM,North Texas,Saint Mary's,TV data unavailable
11/26/2025,3:00 PM,Siena,Cornell,ESPN+
11/26/2025,4:00 PM,Louisiana Tech,Baylor,ESPN+
11/26/2025,4:00 PM,Southern Indiana,Valparaiso,ESPN+
11/26/2025,4:30 PM,Duke,South Carolina,truTV
11/26/2025,6:00 PM,UTSA,Grand Canyon,TV data unavailable
11/26/2025,6:00 PM,Michigan,Detroit Mercy,TV data unavailable
11/26/2025,6:00 PM,Wake Forest,Morgan State,FloSports
11/26/2025,6:00 PM,Life Pacific,Cal State Northridge,ESPN+
11/26/2025,6:00 PM,Michigan,Detroit Mercy,ESPN+
11/26/2025,6:30 PM,Maryland,Kentucky,FloHoops
11/26/2025,6:30 PM,Winthrop,SMU,BallerTV
11/26/2025,7:00 PM,St. Bonaventure,Cleveland State,ESPN+
11/26/2025,8:00 PM,Western Kentucky,Illinois,B1G+
11/26/2025,8:30 PM,California,Auburn,TV data unavailable
11/26/2025,8:30 PM,Western Illinois,Iowa,B1G+
11/26/2025,10:00 PM,Weber State,Utah,ESPN+
11/26/2025,10:00 PM,Auburn,California,FloHoops
11/27/2025,12:00 PM,Illinois State,East Carolina,FloHoops
11/27/2025,12:00 PM,North Carolina,South Dakota State,FloCollege
11/27/2025,1:00 PM,Air Force,Florida Atlantic,TV data unavailable
